Front	Back
How do you open a formal introduction with your name?	안녕하세요, 저는 제임스입니다. / Annyeonghaseyo, jeoneun Jeimseu-imnida. / Hello, I'm James.
How do you say “I studied marketing” formally?	마케팅을 공부했습니다. / Maketingeul gongbuhaesseumnida. / I studied marketing.
How do you say “I'm learning Korean” in formal register?	한국어를 배우고 있습니다. / Hangugeoreul baeugo itseumnida. / I'm learning Korean.
How do you express strong interest in a field?	이 분야에 관심이 많습니다. / I bunyae gwansimi manseumnida. / I'm very interested in this field.
How do you close a formal introduction politely?	잘 부탁드립니다. / Jal butakdeurimnida. / Thank you in advance.
Interviewer says: 간단히 자기소개 부탁드립니다. How do you open?	안녕하세요, 저는 제임스입니다. / Hello, I'm James.
You want to mention your motivation. What do you say?	이 분야에 관심이 많습니다. / I'm very interested in this field.
You finish your introduction. What is the expected closer?	잘 부탁드립니다. / Thank you in advance.
Translate: 저는 제임스입니다.	I'm James.
Translate: 마케팅을 공부했습니다.	I studied marketing.
Translate: 이 분야에 관심이 많습니다.	I'm very interested in this field.
Translate: 잘 부탁드립니다.	Thank you in advance. (Please look after me.)
