Front	Back
How do you greet someone formally for the first time?	처음 뵙겠습니다. / Cheoeum boepgesseumnida. / Nice to meet you. (formal first meeting)
How do you ask “Where are you from?” politely?	어디서 오셨어요? / Eodiseo osyeosseoyo? / Where are you from?
How do you say “I'm from the U.S.” in Korean?	저는 미국에서 왔어요. / Jeoneun migugeseo wasseoyo. / I'm from the U.S.
How do you say “I'm learning Korean” in Korean?	한국어를 배우고 있어요. / Hangugeoreul baeugo isseoyo. / I'm learning Korean.
How do you close an introduction with “Nice to meet you”?	만나서 반가워요. / Mannaseo bangawoyo. / Nice to meet you.
New person says: 어디서 오셨어요? You are American. What do you say?	미국에서 왔어요. / I'm from the U.S.
New person says: 한국어 잘하시네요. What is a humble reply?	아직 배우고 있어요. / I'm still learning.
You shake hands after introducing yourself. What is the warm closer?	만나서 반가워요. / Nice to meet you.
Translate: 처음 뵙겠습니다.	Nice to meet you. (formal first meeting)
Translate: 어디서 오셨어요?	Where are you from?
Translate: 한국어를 배우고 있어요.	I'm learning Korean.
Translate: 만나서 반가워요.	Nice to meet you.
