Front	Back
Casually ask a friend “What are you doing?”	뭐 해? / Mwo hae? / What are you doing? (casual)
Text “I just arrived” casually.	나 방금 도착했어. / Na banggeum dochakhaesseo. / I just arrived.
Text “I think I'll be a little late.”	조금 늦을 것 같아. / Jogeum neujeul geot gata. / I think I'll be a little late.
Text “Are you ok?” casually.	괜찮아? / Gwaenchana? / Are you ok?
Text “I'll contact you later.”	나중에 연락할게. / Najunge yeollakhalge. / I'll contact you later.
Friend texts: 도착했어? You just arrived. Reply.	나 방금 도착했어. / I just arrived.
Friend says they'll be late. You want to say “it's ok.” Reply.	괜찮아. / It's okay.
You can't chat right now. End the conversation politely.	나중에 연락할게. / I'll contact you later.
Translate: 뭐 해?	What are you doing? (casual)
Translate: 나 방금 도착했어.	I just arrived.
Translate: 조금 늦을 것 같아.	I think I'll be a little late.
Translate: 괜찮아?	Are you ok?
