Front	Back
How do you order one iced Americano politely?	아이스 아메리카노 하나 주세요. / Aiseu amerikano hana juseyo. / One iced Americano, please.
How do you say “To go, please” in Korean?	포장해 주세요. / Pojanghae juseyo. / To go, please.
How do you say “I'll drink it here” in Korean?	여기서 마실게요. / Yeogiseo masilgeyo. / I'll drink it here.
How do you say “I'll pay by card” in Korean?	카드로 할게요. / Kadeuro halgeyo. / I'll pay by card.
How do you ask for a receipt in Korean?	영수증 주세요. / Yeongsujeung juseyo. / Can I get a receipt?
Staff says: 뭐 드릴까요? What is a natural reply?	아이스 아메리카노 하나 주세요. / One iced Americano, please.
Staff says: 드시고 가세요? You want it to go. What do you say?	포장해 주세요. / To go, please.
Staff says: 드시고 가세요? You want to drink it there. What do you say?	여기서 마실게요. / I'll drink it here.
You are paying. What phrase tells staff you will use a card?	카드로 할게요. / I'll pay by card.
After paying, what phrase asks for the receipt?	영수증 주세요. / Can I get a receipt?
Translate: 아이스 아메리카노 하나 주세요.	One iced Americano, please.
Translate: 포장해 주세요.	To go, please.
