Front	Back
How do you say there are two of you (at a restaurant)?	두 명이요. / Du myeong-iyo. / Two people.
How do you order one kimchi stew politely?	김치찌개 하나 주세요. / Gimchijjigae hana juseyo. / One kimchi stew, please.
How do you politely ask for water at the table?	물 좀 주세요. / Mul jom juseyo. / Some water, please.
How do you politely ask for tissues?	휴지 좀 주세요. / Hyuji jom juseyo. / Some tissues, please.
How do you say “I'll pay / Check, please”?	계산할게요. / Gyesanhalgeyo. / I'll pay / Check, please.
Staff says: 몇 분이세요? You are with one friend. What do you say?	두 명이요. / Two people.
Staff says: 주문하시겠어요? You want one kimchi stew. What do you say?	김치찌개 하나 주세요. / One kimchi stew, please.
You walk up to the counter to settle the bill. What do you say?	계산할게요. / I'll pay / Check, please.
Translate: 두 명이요.	Two people.
Translate: 김치찌개 하나 주세요.	One kimchi stew, please.
Translate: 물 좀 주세요.	Some water, please.
Translate: 계산할게요.	I'll pay / Check, please.
